score[]	person[]	method[]	chapter[]	days[]	n[]
4	10	2	4	14	4
2	11	2	4	14	4
3	12	2	4	14	4
4	13	2	4	14	4
2	14	2	4	14	4
2	15	2	4	14	4
3	16	2	4	14	4
4	17	2	4	14	4
3	18	2	4	14	4
1	19	2	4	14	4
4	20	2	4	14	4
2	21	2	4	14	4
4	22	2	4	14	4
4	23	2	4	14	4
2	24	2	4	14	4
0	25	2	4	14	3
3	26	2	4	14	4
1	27	2	4	14	4
4	28	2	4	14	4
2	29	2	4	14	4
4	30	2	4	14	4
4	31	2	4	14	4
2	32	2	4	14	4
1	33	2	4	14	3
2	34	2	4	14	4
4	35	2	4	14	4
1	36	2	4	14	3
4	37	2	4	14	4
4	38	2	4	14	4
1	39	2	4	14	4
END
